ranking_local_date,account_id,rank,symbol,rank_pct_change,run_found,run_id,trade_day_utc,started_at_utc,started_at_local,position_found,position_id,position_status,close_reason,entry_price,entry_fill_avg_price,exit_fill_avg_price,opened_at_utc,closed_at_utc,return_pct,return_basis
2026-02-14,acc01,1,GUSDT,5.29,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
2026-02-14,acc01,2,AXSUSDT,2.44,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
2026-02-14,acc01,3,CELOUSDT,2.35,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
2026-02-14,acc01,4,POWERUSDT,2.13,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
2026-02-14,acc01,5,VVVUSDT,2.12,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
2026-02-14,acc01,6,OPENUSDT,1.82,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
2026-02-14,acc01,7,XPINUSDT,1.77,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
2026-02-14,acc01,8,1000SATSUSDT,1.69,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
2026-02-14,acc01,9,BSVUSDT,1.43,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
2026-02-14,acc01,10,CARVUSDT,1.42,1,15741d61-3707-4a7e-b412-840caf70df8b,2026-02-14,2026-02-14T00:05:46+00:00,2026-02-14T08:05:46+08:00,0,,,,,,,,,,rank_symbol_not_opened
